P1 Number of NaNs,P2 Number of NaNs,Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret Mean,P1 Regret Std,P2 Regret Mean,P2 Regret Std,Abs Average Delta Regret,Memory Size
39,0,Needle In Haystack High,ThompsonSampling,ThompsonSampling,5000,HardMax,0.017288635568221588,0.095474919060806976,0.075906757097114932,0.0012778937485314321,0.001174050412022856,0.094412170432479944,100
38,0,Needle In Haystack High,ThompsonSampling,ThompsonSampling,10000,HardMax,0.039913504324783758,0.097506650015824856,0.079585724947231165,0.00092462268282043566,0.00087241293357364551,0.096767506533983652,100
38,0,Needle In Haystack High,ThompsonSampling,ThompsonSampling,15000,HardMax,0.063315834208289581,0.092267214695897062,0.080395853946281709,0.00072597332105389547,0.00065520743522500067,0.091677400547039947,100
38,0,Needle In Haystack High,ThompsonSampling,ThompsonSampling,20000,HardMax,0.095786710664466798,0.091552130082982533,0.081165571684944579,0.0006222657452889215,0.0005832876444345032,0.091092923658570732,100
37,0,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,5000,HardMax,0.012548372581370927,0.15369027628045059,0.074394562823119278,0.0066666771901266828,0.00051020488417805314,0.1470470193048096,100
37,0,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,10000,HardMax,0.031551922403879801,0.14732235747343778,0.078897544293722963,0.0066870708955634531,0.00043820431608688641,0.14076969284303423,100
37,0,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,15000,HardMax,0.055228738563071839,0.14867229563403642,0.078850926019003315,0.0066850770779940342,0.0003921016699152737,0.14208755181960289,100
37,0,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,20000,HardMax,0.072217889105544719,0.14898889480210561,0.078944418748248257,0.0066555497361059411,0.0003167164792843554,0.14242132230357332,100
41,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.033048847557622121,0.087075794863877495,0.080604322914895721,0.01059830075428609,0.027069798431727837,0.08888038347159595,100
41,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,10000,HardMax,0.079295535223238831,0.079994475814800611,0.081686560372336001,0.010576496186595697,0.027068597237955818,0.0833669867671398,100
41,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,15000,HardMax,0.12979501024948753,0.076558477945693981,0.081719538584085427,0.010548741472205199,0.027067166244283781,0.080671384773180019,100
41,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,20000,HardMax,0.18424878756062199,0.068900416274777027,0.083060874561845216,0.010534399658129577,0.027068795745929162,0.073588933607998994,100
22,13,Needle In Haystack High,ThompsonSampling,DynamicGreedy,5000,HardMax,0.074787760611969401,0.082842935880126145,0.084158509295390885,0.036781609195403103,0.077481836994726827,0.13147636672401172,100
22,10,Needle In Haystack High,ThompsonSampling,DynamicGreedy,10000,HardMax,0.16116344182790862,0.076528222169095925,0.082777725011369985,0.042222222222223417,0.081619411876477685,0.13443617155010157,100
22,10,Needle In Haystack High,ThompsonSampling,DynamicGreedy,15000,HardMax,0.24730013499325029,0.077543771362607844,0.08400185813952224,0.042222222222221911,0.081619411876474784,0.13626751784821262,100
22,10,Needle In Haystack High,ThompsonSampling,DynamicGreedy,20000,HardMax,0.3340122993850308,0.075416044402372456,0.084177081906113227,0.042222222222221106,0.081619411876473202,0.13410436866021483,100
32,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,5000,HardMax,0.019947002649867505,0.15184833054397409,0.078915094364553309,0.0071505633501776156,0.0038308159896499926,0.14726457498912027,100
32,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,10000,HardMax,0.039285535723213839,0.15183938661410171,0.078932286704777907,0.0068603992456942754,0.0018728110088186707,0.14751934527918995,100
32,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,15000,HardMax,0.0592180390980451,0.14816012363348738,0.080643785934444948,0.0067925038895587288,0.0012752710526517997,0.14413303053007584,100
32,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,20000,HardMax,0.07757462126893655,0.14538425678815226,0.08238804898244019,0.0067367618852714238,0.00093980909920343106,0.14156875499989527,100
0,0,Needle In Haystack High,ThompsonSampling,ThompsonSampling,5000,HardMaxWithRandom,0.061466926653667334,0.038050970232991053,0.048649355750530719,0.003359732428967489,0.019812084030748533,0.038750629244917019,100
0,0,Needle In Haystack High,ThompsonSampling,ThompsonSampling,10000,HardMaxWithRandom,0.17095745212739361,0.012340797785958389,0.026134949562053509,0.0029976958847006642,0.019817247026825302,0.013366376346419597,100
0,0,Needle In Haystack High,ThompsonSampling,ThompsonSampling,15000,HardMaxWithRandom,0.28472076396180196,0.0056737015982856335,0.010000085823814864,0.0028108702703125645,0.019828060953336859,0.0068849340245164571,100
0,0,Needle In Haystack High,ThompsonSampling,ThompsonSampling,20000,HardMaxWithRandom,0.41333033348332582,0.0030144648221546648,0.0019211480271658177,0.0026963432846478807,0.019797237161640349,0.0043521404216002538,100
0,0,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,5000,HardMaxWithRandom,0.080339983000849949,0.057252635783324735,0.077827235274833817,0.012881400623795097,0.032533339892328192,0.056830033213781342,100
0,0,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,10000,HardMaxWithRandom,0.18102544872756365,0.040004467379572653,0.067557228119227805,0.011691640217953145,0.028520257109041491,0.038362890562527216,100
0,0,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,15000,HardMaxWithRandom,0.28720613969301534,0.031263115976487239,0.060226030286881428,0.010708868615753568,0.026522622659663118,0.028672687266809493,100
0,0,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,20000,HardMaxWithRandom,0.39946902654867261,0.027603754417972109,0.056378831375855157,0.010575510569216549,0.026418139002620536,0.02489479630044349,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMaxWithRandom,0.072980850957452131,0.03264192394918488,0.046060020469568197,0.012152846791127712,0.031220015908235525,0.032558639880870432,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,10000,HardMaxWithRandom,0.21164591770411476,0.010832837613285008,0.031246628060842326,0.010788927935533599,0.026676002851799423,0.012903651782327562,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,15000,HardMaxWithRandom,0.34486725663716811,0.0083118541915566477,0.0291882274879572,0.0090298990931352695,0.019150640027768683,0.01089880873138444,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,20000,HardMaxWithRandom,0.48209239538023091,0.0038048488573680724,0.010600017010982475,0.0087701539953350793,0.018903067521474411,0.0076205284410420168,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,5000,HardMaxWithRandom,0.11342482875856209,0.021095895003083939,0.030906297863212261,0.060000000000000032,0.091651513899116868,0.078554122613434418,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,10000,HardMaxWithRandom,0.2663721813909305,0.0054549472859587375,0.006364935747887681,0.060000000000000282,0.091651513899117229,0.063955629826567995,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,15000,HardMaxWithRandom,0.42652517374131294,0.0031196479929755201,0.0019546276532118813,0.060000000000000393,0.091651513899117396,0.062058983929043264,100
