Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret,P2 Regret,Abs Delta Regret,Memory Size
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.004,0.14999999999999997,0.0080321285140562276,0.14196787148594375,1000
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0013333333333333333,0.14999999999999997,0.0069425901201601997,0.14305740987983978,1000
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.001,0.15999999999999998,0.0064864864864864705,0.1535135135135135,1000
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,7000,HardMax,0.0007142857142857143,0.15999999999999998,0.006233023588277352,0.15376697641172263,1000
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,10000,HardMax,0.0005,0.15999999999999998,0.0064632316158079418,0.15353676838419203,1000
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,12000,HardMax,0.0004166666666666667,0.15999999999999998,0.0064693622342643234,0.15353063776573564,1000
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,15000,HardMax,0.0003333333333333333,0.15999999999999998,0.0064021340446816155,0.15359786595531835,1000
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.0,nan,0.0072000000000000041,nan,1000
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0,nan,0.0066666666666666532,nan,1000
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.0,nan,0.0070399999999999924,nan,1000
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,7000,HardMax,0.0,nan,0.0066571428571428745,nan,1000
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,10000,HardMax,0.0,nan,0.006740000000000042,nan,1000
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,12000,HardMax,0.0,nan,0.0068166666666667182,nan,1000
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,15000,HardMax,0.0,nan,0.0067333333333333932,nan,1000
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.0,nan,0.0048000000000000013,nan,1000
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0,nan,0.0067999999999999866,nan,1000
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.0,nan,0.0065599999999999851,nan,1000
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,7000,HardMax,0.0,nan,0.0063142857142857271,nan,1000
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,10000,HardMax,0.0,nan,0.0063600000000000366,nan,1000
