Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret,P2 Regret,Abs Delta Regret,Memory Size
Needle In Haystack High,ThompsonSampling,ThompsonSampling,5000,HardMax,4.999750012499375e-05,0.0,0.00052010402080416077,0.00052010402080416077,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,10000,HardMax,4.999750012499375e-05,0.0,0.00032003200320032004,0.00032003200320032004,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,15000,HardMax,4.999750012499375e-05,0.0,0.00022668177878525239,0.00022668177878525239,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,20000,HardMax,4.999750012499375e-05,0.0,0.00018000900045002252,0.00018000900045002252,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,5000,HardMax,0.0,nan,0.0012800000000000005,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,10000,HardMax,0.0,nan,0.00095999999999999981,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,15000,HardMax,0.0,nan,0.00067999999999999972,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,20000,HardMax,0.0,nan,0.00052999999999999976,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,5000,HardMax,0.0,nan,0.0021599999999999987,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,10000,HardMax,0.0,nan,0.0013999999999999983,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,15000,HardMax,0.0,nan,0.00094666666666666543,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,20000,HardMax,0.0,nan,0.00070999999999999904,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,5000,HardMax,0.0,nan,0.0015600000000000008,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,10000,HardMax,0.0,nan,0.0012799999999999986,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,15000,HardMax,0.0,nan,0.0010266666666666651,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,20000,HardMax,0.0,nan,0.00088999999999999843,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,5000,HardMax,4.999750012499375e-05,0.19999999999999996,0.00044008801760352058,0.19955991198239645,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,10000,HardMax,4.999750012499375e-05,0.19999999999999996,0.00036003600360036007,0.19963996399639961,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,15000,HardMax,4.999750012499375e-05,0.19999999999999996,0.00034668977931862137,0.19965331022068133,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,20000,HardMax,4.999750012499375e-05,0.19999999999999996,0.00059002950147507322,0.19940997049852488,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,5000,HardMax,0.0,nan,0.0011600000000000004,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,10000,HardMax,0.0,nan,0.00068000000000000037,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,15000,HardMax,0.0,nan,0.00049333333333333358,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,20000,HardMax,0.0,nan,0.0004300000000000001,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,5000,HardMax,0.0,nan,0.0013600000000000007,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,10000,HardMax,0.0,nan,0.00082000000000000031,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,15000,HardMax,0.0,nan,0.00066666666666666643,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,20000,HardMax,0.0,nan,0.00063999999999999929,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,5000,HardMax,0.0,nan,0.00031999999999999992,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,10000,HardMax,0.0,nan,0.00046000000000000012,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,15000,HardMax,0.0,nan,0.00041333333333333353,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,20000,HardMax,0.0,nan,0.00044000000000000002,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,5000,HardMax,0.00024998750062496874,0.15999999999999998,0.00028028028028028021,0.15971971971971968,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,10000,HardMax,0.00024998750062496874,0.15999999999999998,0.00016008004002000998,0.15983991995997995,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,15000,HardMax,0.00024998750062496874,0.15999999999999998,0.00013337779259753248,0.15986662220740244,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,20000,HardMax,0.00024998750062496874,0.15999999999999998,0.00011002750687671914,0.15988997249312326,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,5000,HardMax,0.00014999250037498125,0.19999999999999996,0.0036021612967780605,0.19639783870322189,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,10000,HardMax,0.00014999250037498125,0.19999999999999996,0.0020406121836550927,0.19795938781634487,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,15000,HardMax,0.00014999250037498125,0.19999999999999996,0.0014669600586783992,0.19853303994132154,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,20000,HardMax,0.00014999250037498125,0.19999999999999996,0.001200180027004048,0.19879981997299589,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,5000,HardMax,0.0,nan,0.00051999999999999995,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,10000,HardMax,4.999750012499375e-05,0.19999999999999996,0.00060006000600060032,0.19939993999399935,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,15000,HardMax,4.999750012499375e-05,0.19999999999999996,0.00048003200213347582,0.19951996799786648,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,20000,HardMax,4.999750012499375e-05,0.19999999999999996,0.00039001950097504896,0.1996099804990249,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,5000,HardMax,4.999750012499375e-05,0.0,0.0023204640928185618,0.0023204640928185618,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,10000,HardMax,4.999750012499375e-05,0.0,0.0013001300130012986,0.0013001300130012986,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,15000,HardMax,4.999750012499375e-05,0.0,0.00086672444829655215,0.00086672444829655215,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,20000,HardMax,4.999750012499375e-05,0.0,0.00068003400170008423,0.00068003400170008423,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,5000,HardMax,0.0,nan,0.0035199999999999941,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,10000,HardMax,0.0,nan,0.0019199999999999964,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,15000,HardMax,0.0,nan,0.0013333333333333307,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,20000,HardMax,0.0,nan,0.0010299999999999979,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,5000,HardMax,0.0007999600019999,0.12499999999999997,0.0007223113964687,0.12427768860353128,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,10000,HardMax,0.0007999600019999,0.12499999999999997,0.00050080128205128222,0.12449919871794869,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,15000,HardMax,0.0007999600019999,0.12499999999999997,0.00040042712226374819,0.12459957287773622,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,20000,HardMax,0.0007999600019999,0.12499999999999997,0.00037029623698959184,0.12462970376301039,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,5000,HardMax,0.0,nan,0.0016000000000000007,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,10000,HardMax,0.0,nan,0.00099999999999999959,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,15000,HardMax,0.0,nan,0.00069333333333333302,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,20000,HardMax,0.0,nan,0.00053999999999999968,nan,100
