P1 Number of NaNs,P2 Number of NaNs,Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret Mean,P1 Regret Std,P2 Regret Mean,P2 Regret Std,Abs Average Delta Regret,Memory Size
52,1,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.080809999999999979,0.096321553173653054,0.072363261201051993,0.0083720694962599145,0.018050962005363071,0.093040054944048656,100
37,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.10969333333333334,0.091488392549819816,0.079450874761726187,0.007321684374767894,0.0061362966808968748,0.086670183185009408,100
37,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.12514199999999998,0.086883473644783771,0.080577163325747631,0.0070186194529434807,0.0037325897701970079,0.082281413893626684,100
36,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,7000,HardMax,0.12487142857142856,0.087133355065178983,0.080054634698024596,0.0068987523432378515,0.0027250350173680066,0.083001980461588798,100
36,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,10000,HardMax,0.12529699999999999,0.084861750029464861,0.080730166556271077,0.0068163202350943397,0.0019800143792455117,0.081121158448233754,100
36,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,12000,HardMax,0.13022500000000001,0.084032489481108988,0.08019043532568626,0.0067667956690449609,0.0016905666874538802,0.080645422305236691,100
36,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,15000,HardMax,0.13324933333333333,0.081105709064969847,0.079625394595827417,0.006740179160351514,0.0013384837378987823,0.078104639679296622,100
32,8,Needle In Haystack High,ThompsonSampling,DynamicGreedy,1000,HardMax,0.25002999999999997,0.071805348018202333,0.066766136296071699,0.060867391304347505,0.092022848189168713,0.11358665099192403,100
27,7,Needle In Haystack High,ThompsonSampling,DynamicGreedy,3000,HardMax,0.32734333333333332,0.062054819797453656,0.074133395499480184,0.062364874551971206,0.09264693201140127,0.11533377948739931,100
26,7,Needle In Haystack High,ThompsonSampling,DynamicGreedy,5000,HardMax,0.35333000000000003,0.056440588232096071,0.073397861868887915,0.062365161290324218,0.092647357819831785,0.10993680631228597,100
26,7,Needle In Haystack High,ThompsonSampling,DynamicGreedy,7000,HardMax,0.36798285714285711,0.054137360122792549,0.073518602687077744,0.062365284178189796,0.092647540333553158,0.11109439571851759,100
26,7,Needle In Haystack High,ThompsonSampling,DynamicGreedy,10000,HardMax,0.38152000000000008,0.050081499899299602,0.07389085505583641,0.062365376344088924,0.092647677228449188,0.1083830670414723,100
26,7,Needle In Haystack High,ThompsonSampling,DynamicGreedy,12000,HardMax,0.38620166666666672,0.048453901910987189,0.072606777918742232,0.062365412186380149,0.092647730467572353,0.10707056207342074,100
26,7,Needle In Haystack High,ThompsonSampling,DynamicGreedy,15000,HardMax,0.39041933333333334,0.045800212214302582,0.072246626245106485,0.062365448028670917,0.092647783707939885,0.10439919996618741,100
41,1,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,1000,HardMax,0.06862,0.13976182394056499,0.082333648024786488,0.0097278448424734324,0.022228430056865388,0.13866519125938184,100
32,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,3000,HardMax,0.10523666666666667,0.14114526713248035,0.084338779146938492,0.0089403604711942048,0.019476261544579092,0.13919213286389076,100
32,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,5000,HardMax,0.10514399999999999,0.138427625394765,0.085678122889899108,0.0088341007699386832,0.019232029969067452,0.1372237561587166,100
32,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,7000,HardMax,0.10566142857142857,0.1362958194215198,0.086272724146123969,0.0087568358574447152,0.019174408654269882,0.13528122275242749,100
32,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,10000,HardMax,0.11017199999999999,0.13415046327015226,0.087040004472387092,0.0087267992559985005,0.019141181293619618,0.13326144963969366,100
32,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,12000,HardMax,0.11348083333333335,0.13533406125281702,0.085690491155965276,0.0087346574131692105,0.019129715631842369,0.13449210174352966,100
32,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,15000,HardMax,0.11867933333333335,0.13283762422451617,0.087071823268537421,0.0086961948675249017,0.019124152613346379,0.13222979101889729,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMaxWithRandom,0.13417999999999999,0.086630987016282593,0.053439761333339879,0.0085847801828732601,0.018855556574545632,0.081669047581449009,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMaxWithRandom,0.19077666666666665,0.05579210172859371,0.051627080196219012,0.008578624401950001,0.018954303418702984,0.051340123228807454,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMaxWithRandom,0.26983000000000007,0.030784265825117743,0.041150867160175561,0.0084773580415736394,0.018850189545229715,0.027404160839417088,100
