"","Prior","P1.Alg","P2.Alg","Time.Horizon","Agent.Alg","Market.Share.for.P1","P1.Regret","P2.Regret","Abs.Delta.Regret","Memory.Size"
"40","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",0,NA,0.00632000000000004,NA,1000
"41","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0,NA,0.00631666666666671,NA,1000
"42","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0,NA,0.00632000000000005,NA,1000
"43","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0,NA,0.0062,NA,1000
"44","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0,NA,0.00559999999999999,NA,1000
"45","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",0,NA,0.00639999999999998,NA,1000
"46","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0,NA,0.00645714285714287,NA,1000
"47","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",0,NA,0.00656000000000004,NA,1000
"48","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0,NA,0.00650000000000005,NA,1000
"49","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0,NA,0.00637333333333339,NA,1000
"50","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0,NA,0.0074,NA,1000
"51","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0,NA,0.00719999999999999,NA,1000
"52","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",0,NA,0.00744,NA,1000
"53","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0,NA,0.00728571428571431,NA,1000
"54","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",0,NA,0.00666000000000004,NA,1000
"55","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0,NA,0.00653333333333338,NA,1000
"56","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0,NA,0.00656000000000006,NA,1000
"57","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0,NA,0.007,NA,1000
"58","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0,NA,0.00593333333333332,NA,1000
"59","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",0,NA,0.00611999999999998,NA,1000
"60","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0,NA,0.0062857142857143,NA,1000
"61","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",0,NA,0.00616000000000003,NA,1000
"62","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0,NA,0.00640000000000005,NA,1000
"63","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0,NA,0.00638666666666672,NA,1000
"64","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0.002,0.2,0.125050100200402,0.0749498997995979,1000
"65","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0.000666666666666667,0.2,0.0460306871247501,0.15396931287525,1000
"66","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",4e-04,0.2,0.0304921968787515,0.169507803121248,1000
"67","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0.000285714285714286,0.2,0.0232066304658473,0.176793369534153,1000
"68","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",2e-04,0.2,0.0184436887377474,0.181556311262253,1000
"69","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0.000166666666666667,0.2,0.0165027504584095,0.18349724954159,1000
"70","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0.000133333333333333,0.2,0.0144952660354711,0.185504733964529,1000
"71","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0,NA,0.0068,NA,1000
"72","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0,NA,0.00693333333333332,NA,1000
"73","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",0,NA,0.00703999999999999,NA,1000
"74","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0,NA,0.00657142857142859,NA,1000
"75","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",0,NA,0.00656000000000004,NA,1000
"76","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0,NA,0.00665000000000005,NA,1000
"77","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0,NA,0.00657333333333339,NA,1000
"78","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0.004,0.2,0.00502008032128514,0.194979919678715,1000
