Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret,P2 Regret,Abs Delta Regret,Memory Size
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.0,nan,0.048899999999999361,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0,nan,0.034216666666665438,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.0,nan,0.021289999999999219,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,7000,HardMax,0.0,nan,0.015649999999999418,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,9000,HardMax,0.0,nan,0.012488888888888418,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,10000,HardMax,0.0,nan,0.011424999999999566,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.0,nan,0.016500000000000098,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0,nan,0.0067000000000000505,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.0,nan,0.0046000000000000381,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,7000,HardMax,0.0,nan,0.0038285714285714637,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,9000,HardMax,0.0,nan,0.0033111111111111431,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,10000,HardMax,0.0,nan,0.0031100000000000307,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.056694330566943306,0.036948853615520569,0.048152424942263655,0.011203571326743086,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.25537446255374463,0.017599843382928575,0.048094170403587821,0.030494327020659247,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.45525447455254475,0.012068965517241162,0.047986577181208433,0.035917611663967272,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,7000,HardMax,0.6552344765523448,0.0093239737524795762,0.047986577181208433,0.038662603428728855,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,9000,HardMax,0.8552144785521448,0.0073833742546473222,0.047986577181208433,0.040603202926561111,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,10000,HardMax,0.9552044795520448,0.0066523605150213046,0.047986577181208433,0.041334216666187126,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.0,nan,0.0018000000000000017,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0,nan,0.0016999999999999969,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.0,nan,0.0016499999999999967,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,7000,HardMax,0.0,nan,0.0017500000000000059,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,9000,HardMax,0.0,nan,0.0017722222222222325,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,10000,HardMax,0.0,nan,0.0017150000000000108,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.08029197080291971,0.022665006226650217,0.0015228426395939099,0.021142163587056308,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.14208579142085792,0.016432090077410411,0.0014249525015832811,0.015007137575827129,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.144985501449855,0.016310344827586344,0.0015352112676056309,0.014775133559980714,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,7000,HardMax,0.144985501449855,0.016310344827586344,0.0015945945945945934,0.014715750232991751,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,9000,HardMax,0.18708129187081293,0.014831640833778867,0.0015640342263992181,0.01326760660737965,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,10000,HardMax,0.19908009199080093,0.01438975389251646,0.001598202022724441,0.01279155186979202,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.0012998700129987,0.026923076923076945,0.04888551165146849,0.021962434728391544,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0015998400159984002,0.028125000000000025,0.048994638069704756,0.020869638069704731,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.1493850614938506,0.0079317269076305454,0.048944666286367587,0.04101293937873704,100
