P1 Alg,P2 Alg,Agent Alg,Market Share for P1,P1 Regret,P2 Regret,Abs Delta Regret,Discount Factor
ThompsonSampling,ThompsonSampling,HardMax,1.0,0.05866827915736407,0.0,0.05866827915736407,0.5
ThompsonSampling,ThompsonSampling,HardMax,1.0,0.05866827915736407,0.0,0.05866827915736407,0.5
ThompsonSampling,ThompsonSampling,HardMax,1.0,0.05866827915736407,0.0,0.05866827915736407,0.75
ThompsonSampling,ThompsonSampling,HardMax,1.0,0.05866827915736407,0.0,0.05866827915736407,0.75
