Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret,P2 Regret,Abs Delta Regret,Memory Size
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.585,0.0042393162393162542,0.030072289156625829,0.025832972917309575,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.84,0.014464285714285761,0.048437499999999883,0.033973214285714121,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.9466666666666667,0.0057746478873239781,0.048437499999999883,0.042662852112675904,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.968,0.0035330578512396916,0.048437499999999883,0.044904442148760194,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.381,0.032414698162729773,0.0021809369951534753,0.030233761167576298,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.12733333333333333,0.032329842931937282,0.0015660809778456815,0.030763761954091601,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.111,0.029549549549549727,0.001642294713160851,0.027907254836388874,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.939,0.018210862619808421,0.00081967213114754174,0.01739119048866088,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.9116666666666666,0.010511882998171946,0.0020754716981132093,0.0084364113000587361,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.9468,0.0074566962399662297,0.0020676691729323328,0.0053890270670338969,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.254,0.034055118110236177,0.048659517426273557,0.014604399316037381,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.7173333333333334,0.016147769516728701,0.048820754716980878,0.032672985200252178,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.8246,0.0094591317002182679,0.048517673888255099,0.039058542188036831,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.773,0.044437257438551342,0.0019823788546255525,0.042454878583925791,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.6836666666666666,0.019746465138956528,0.036670179135932728,0.016923713996976199,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.6736,0.012856294536817007,0.029289215686274156,0.016432921149457151,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.795,0.041886792452830501,0.0012195121951219523,0.040667280257708549,10
