P1 Number of NaNs,P2 Number of NaNs,Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret Mean,P1 Regret Std,P2 Regret Mean,P2 Regret Std,Abs Average Delta Regret,Memory Size
23,21,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.47231999999999991,0.025017127348842046,0.013365238488940182,0.029796889997786121,0.020382200237711871,0.02061153826217001,100
21,16,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.46311999999999998,0.020218968383004708,0.014571620838793056,0.026801943537163638,0.02019392925509169,0.026387669627624247,100
20,15,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.467748,0.018045975915419378,0.014909794618938127,0.024862670730655408,0.020232688161207053,0.028244098104152855,100
25,19,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,1000,HardMax,0.51312999999999998,0.024916910019354487,0.014744723713354535,0.0321243748202397,0.021578347751427196,0.023930807821197893,100
22,15,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,3000,HardMax,0.52357333333333322,0.020566019978393784,0.015655629649430697,0.032827587742515679,0.021984639936634447,0.027797491684724691,100
21,12,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,5000,HardMax,0.52798199999999984,0.018269724252118997,0.016266125720907187,0.033576012956733334,0.021987772511252047,0.031206697936741908,100
19,20,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,1000,HardMax,0.51234000000000002,0.027758742512893165,0.023095983956260217,0.027840269830832886,0.020946079522488257,0.021720794129521395,100
16,15,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,3000,HardMax,0.50526333333333329,0.027410041289333029,0.023512430868594805,0.026035041325466197,0.021531592223696262,0.021964977468824046,100
16,14,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,5000,HardMax,0.50531999999999988,0.027161126738718653,0.02375259141238209,0.024037783282099091,0.021292025994417849,0.022713252568691295,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMaxWithRandom,0.46899999999999997,0.026622203272269239,0.012595649458910303,0.024841095040396003,0.020149257339896812,0.019759288366000084,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMaxWithRandom,0.47488333333333332,0.020519946745089876,0.011945677856092424,0.020684960929114267,0.020262704776983144,0.020384386837167798,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMaxWithRandom,0.488232,0.015918001277187777,0.010852075514570351,0.018411186937147404,0.019949557114772906,0.020299656326697245,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,1000,HardMaxWithRandom,0.53994999999999993,0.024663352177995111,0.011579180537341716,0.029929252895193662,0.022928107134288139,0.024127364422975063,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,3000,HardMaxWithRandom,0.57038,0.018173701054339794,0.012167677455359823,0.028854037165701535,0.024140189804718104,0.026534822753267604,100
