Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret,P2 Regret,Abs Delta Regret,Memory Size
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.0,nan,0.0024500000000000004,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0,nan,0.0021333333333333287,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.0,nan,0.001940000000000001,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.62,0.016693548387096798,0.049210526315789815,0.032516977928693014,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.20766666666666667,0.016693418940609977,0.046697517879678518,0.030004098939068542,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.1246,0.016693418940609977,0.033550376970527561,0.016856958029917584,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.0,nan,0.003599999999999996,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0003333333333333333,0.050000000000000044,0.0023174391463821223,0.047682560853617925,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.0002,0.050000000000000044,0.0020904180836167265,0.047909581916383316,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.009,0.033333333333333361,0.049142280524721867,0.015808947191388506,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.003,0.033333333333333361,0.049214309595452768,0.015880976262119408,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.002,0.035000000000000031,0.049338677354713777,0.014338677354713746,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.777,0.014221364221364252,0.049327354260089787,0.035105990038725533,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.25933333333333336,0.014203084832904915,0.028240324032402599,0.014037239199497684,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.1556,0.014203084832904915,0.015596873519658551,0.0013937886867536366,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.016,0.037500000000000033,0.0013719512195121963,0.036128048780487837,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.006666666666666667,0.040000000000000036,0.0044463087248322337,0.035553691275167804,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.1436,0.032381615598886068,0.0036198038299860083,0.02876181176890006,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,1.0,0.029850000000000289,nan,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,1.0,0.015733333333333151,nan,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.9998,0.01064212842568496,0.050000000000000044,0.039357871574315084,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.997,0.017301905717151563,0.033333333333333361,0.016031427616181797,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.999,0.0073740407073741004,0.033333333333333361,0.025959292625959259,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.9994,0.0047928757254353024,0.033333333333333361,0.028540457607898057,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.985,0.020558375634517921,0.04666666666666671,0.026108291032148789,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.9946666666666667,0.011410857908847253,0.046875000000000042,0.035464142091152791,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.9968,0.0074036918138041816,0.046875000000000042,0.039471308186195861,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.988,0.037651821862348202,0.029166666666666691,0.0084851551956815104,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.996,0.02349397590361384,0.029166666666666691,0.0056726907630528511,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.9892,0.017529316619489935,0.0083333333333333402,0.0091959832861565945,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.815,0.041349693251534016,0.04945945945945944,0.0081097662079254243,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.9333333333333333,0.022464285714285201,0.049250000000000037,0.026785714285714836,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.96,0.013312499999999689,0.049250000000000037,0.035937500000000344,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.177,0.040112994350282392,0.046597812879708336,0.0064848185294259439,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.7256666666666667,0.0050987597611391938,0.046597812879708336,0.041499053118569142,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.8354,0.0028968158965764997,0.046597812879708336,0.043700996983131839,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.839,0.035816448152562921,0.04906832298136634,0.013251874828803419,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.55,0.03363636363636302,0.049148148148146942,0.015511784511783921,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.5444,0.026965466568698741,0.04901229148375584,0.022046824915057099,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.996,0.0021586345381526119,0.037500000000000033,0.035341365461847421,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.9986666666666667,0.0022696929238985261,0.037500000000000033,0.035230307076101509,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.9992,0.002481985588470785,0.037500000000000033,0.035018014411529248,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.468,0.023504273504273553,0.048778195488722247,0.025273921984448694,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.8226666666666667,0.008144246353322589,0.048778195488722247,0.040633949135399659,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.8936,0.0062667860340197548,0.048778195488722247,0.042511409454702491,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,1.0,0.011900000000000036,nan,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.9996666666666667,0.010170056685561953,0.050000000000000044,0.039829943314438093,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.9998,0.0073214642928585835,0.050000000000000044,0.04267853570714146,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.0,nan,0.049099999999999346,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.4483333333333333,0.020000000000000184,0.049154078549847442,0.029154078549847258,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.669,0.014813153961135821,0.049154078549847442,0.034340924588711623,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,1.0,0.012350000000000042,nan,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,1.0,0.013749999999999931,nan,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,1.0,0.0089599999999999177,nan,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,1.0,0.006949999999999984,nan,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,1.0,0.003216666666666668,nan,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,1.0,0.0020500000000000023,nan,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.001,0.050000000000000044,0.048798798798798164,0.0012012012012018805,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0003333333333333333,0.050000000000000044,0.048816272090696576,0.0011837279093034683,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.0002,0.050000000000000044,0.04886977395479522,0.0011302260452048241,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.0,nan,0.048999999999999357,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0,nan,0.049233333333333108,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.0,nan,0.049200000000004337,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.005,0.050000000000000044,0.0426633165829143,0.0073366834170857445,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0016666666666666668,0.050000000000000044,0.030918196994990613,0.019081803005009432,100
