P1 Number of NaNs,P2 Number of NaNs,Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret Mean,P1 Regret Std,P2 Regret Mean,P2 Regret Std,Abs Average Delta Regret,Memory Size
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,400,HardMaxWithRandom,0.4976416666666667,0.071751764701583454,0.057424258358804332,0.075298489834590795,0.08211045844068128,0.099767739495747923,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,600,HardMaxWithRandom,0.49708888888888886,0.064845408548751773,0.057069417080595715,0.071767811561730593,0.081944140956786399,0.099692218726200404,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,800,HardMaxWithRandom,0.49445,0.059880485507855269,0.056591226180720364,0.069099302558873865,0.081642228160795527,0.09758107587514632,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMaxWithRandom,0.49279833333333328,0.056276131202205593,0.056110668101651856,0.066704580139477748,0.081289329628579848,0.095402210999629353,100
1,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,200,HardMaxWithRandom,0.48023333333333329,0.078498782467911574,0.056241008304836228,0.080859408864596999,0.091094438134047079,0.10077465042729811,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,400,HardMaxWithRandom,0.4852541666666666,0.065963757838007925,0.053366908865742482,0.077286591512907343,0.090850567289501902,0.10419567929725129,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,600,HardMaxWithRandom,0.49019722222222223,0.058392079017902686,0.052984782295997804,0.075603688271103739,0.091085308493474529,0.10587376519269749,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,800,HardMaxWithRandom,0.49514791666666669,0.053290334866278939,0.051576729664106889,0.074573419760868676,0.091485079687272028,0.10589962128326247,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,1000,HardMaxWithRandom,0.49998833333333331,0.048983229959026403,0.050660371529109252,0.073546889525689607,0.091748687667501383,0.10517273778500837,100
3,1,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,200,HardMaxWithRandom,0.4890166666666666,0.087464941300546731,0.092789610709213169,0.08247054072521133,0.084655128235947452,0.10364728224135852,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,400,HardMaxWithRandom,0.48550833333333332,0.084546760924506234,0.092253317470420607,0.074323145071349309,0.080977392645970175,0.10519879932940993,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,600,HardMaxWithRandom,0.47960277777777788,0.082779623672729299,0.092420072479995952,0.068270895725433878,0.079169239140155903,0.10647002996929213,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,800,HardMaxWithRandom,0.47322500000000001,0.081320237514961799,0.092567676549962466,0.064106795628819477,0.077585798450389862,0.10624554695889815,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,1000,HardMaxWithRandom,0.47065333333333331,0.079915002196685167,0.092598495224948674,0.060739606568465089,0.076417190981832625,0.10593723579457366,100
1,0,Needle In Haystack High,ThompsonSampling,ThompsonSampling,200,HardMaxWithRandom,0.50194166666666662,0.08144188492961435,0.058546364522111621,0.080850062629946554,0.056896426924319905,0.079506411931582754,100
0,0,Needle In Haystack High,ThompsonSampling,ThompsonSampling,400,HardMaxWithRandom,0.50442916666666671,0.068527714470187837,0.055636222171536902,0.068445201441357656,0.054070122957568419,0.079045626039715183,100
0,0,Needle In Haystack High,ThompsonSampling,ThompsonSampling,600,HardMaxWithRandom,0.50749166666666667,0.062386449359236429,0.05652153296338152,0.06141461127336155,0.053280833906154075,0.079790802153320281,100
0,0,Needle In Haystack High,ThompsonSampling,ThompsonSampling,800,HardMaxWithRandom,0.50623541666666672,0.0581395258741257,0.056475960946011546,0.056033301328712759,0.051873972092973494,0.078630363049268751,100
0,0,Needle In Haystack High,ThompsonSampling,ThompsonSampling,1000,HardMaxWithRandom,0.50402999999999998,0.054702838775124503,0.056220695501607819,0.051805044632480438,0.051211618745255968,0.076423775469910069,100
1,0,Needle In Haystack High,DynamicGreedy,DynamicGreedy,200,HardMaxWithRandom,0.50006666666666666,0.085015217037041457,0.092467952375251322,0.085234880700817944,0.092367681725653253,0.10357722197431715,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicGreedy,400,HardMaxWithRandom,0.49626250000000011,0.081964049743796175,0.09257617060609484,0.084122064059543311,0.093093642939575713,0.10468504893403129,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicGreedy,600,HardMaxWithRandom,0.4939527777777778,0.080243476432390493,0.092919178307753064,0.082159558028536972,0.093298111221956373,0.10524978875990844,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicGreedy,800,HardMaxWithRandom,0.49619374999999999,0.079008478273503283,0.093414320500541007,0.080375768567476524,0.093743176030860895,0.10455169250924522,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicGreedy,1000,HardMaxWithRandom,0.49693833333333337,0.077999686560446702,0.093520712770356049,0.07907570557155652,0.093831435881231523,0.10408481192214092,100
0,3,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,200,HardMaxWithRandom,0.49167499999999997,0.088846629253499163,0.086557092366509839,0.078195954929576997,0.083723201160456576,0.10340828503170955,100
0,0,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,400,HardMaxWithRandom,0.48434166666666667,0.080245056853859964,0.084065516284718783,0.071255898347672139,0.081293255699063149,0.10574643264980016,100
0,0,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,600,HardMaxWithRandom,0.48232499999999995,0.074553347569513373,0.08283229340106206,0.066714696622302269,0.08046605517931385,0.10540353474103629,100
0,0,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,800,HardMaxWithRandom,0.48036458333333332,0.071285380959483516,0.08187497265185302,0.063744015026902523,0.079588682045934195,0.10428068393375671,100
0,0,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,1000,HardMaxWithRandom,0.47774333333333335,0.068004846505046276,0.080924341251747203,0.061820160569375143,0.079511956201521253,0.10299022552882296,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,200,SoftMax,0.5037166666666667,0.07094434838038452,0.048680300444834977,0.076490943830044691,0.081161547170758769,0.089241049411169518,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,400,SoftMax,0.50907499999999994,0.055250930874752746,0.045113248492458458,0.067634739237565009,0.079700416355965642,0.08412987417771689,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,600,SoftMax,0.51015277777777779,0.045568659287480578,0.04200161761683037,0.061999974532608859,0.077793878256265228,0.077349293243255068,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,800,SoftMax,0.51576666666666671,0.038838922752063375,0.03979973800496639,0.057844420651526014,0.075876808200797202,0.071186545671115528,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,SoftMax,0.52206666666666668,0.033731432071209391,0.036878033739715391,0.054186870278611028,0.073513913386001425,0.065332853844932634,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,200,SoftMax,0.507525,0.073755075397414646,0.050048662898144379,0.084437320424953763,0.093252612520936917,0.10265426439217464,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,400,SoftMax,0.5161458333333333,0.057680533569276035,0.046774400120545782,0.080174108906989436,0.093941068722469795,0.10391640905570435,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,600,SoftMax,0.52583333333333337,0.04710307064420715,0.043187395839430646,0.078204316683523872,0.094413404440309864,0.10207906454086833,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,800,SoftMax,0.53395833333333331,0.039433070659296049,0.038896696801696218,0.077164017973100615,0.094726486272210933,0.098712709842688179,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,1000,SoftMax,0.54298666666666662,0.033580715487573978,0.035140952374381224,0.076378553240806779,0.094817013193565877,0.09533496154704571,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,200,SoftMax,0.50814999999999999,0.079027386706936972,0.091719488546598116,0.076877130796198387,0.083170523990734796,0.099334614019659859,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,400,SoftMax,0.49919999999999998,0.074091024619390627,0.091840800569298289,0.070050393648046508,0.082057785919775583,0.099850023620964012,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,600,SoftMax,0.49650277777777774,0.071754601556471634,0.092112176785397709,0.065556628729409538,0.080891329316969934,0.099185797155060693,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,800,SoftMax,0.49170208333333326,0.070260641299652968,0.092222464556910216,0.061657498810137393,0.079166789176370059,0.098891945014603994,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,1000,SoftMax,0.49010666666666663,0.069203881555953972,0.092305452335063792,0.058154481475733891,0.076959390872979871,0.098006597609117937,100
0,0,Needle In Haystack High,ThompsonSampling,ThompsonSampling,200,SoftMax,0.50530833333333336,0.074246702274507512,0.050681263414510215,0.071235480384530495,0.049752774904192935,0.06538213258877458,100
0,0,Needle In Haystack High,ThompsonSampling,ThompsonSampling,400,SoftMax,0.49659166666666665,0.059657798305198476,0.048135733721018995,0.056694080799123095,0.047731250648888376,0.062516293843914786,100
0,0,Needle In Haystack High,ThompsonSampling,ThompsonSampling,600,SoftMax,0.49386388888888888,0.050162736743389606,0.045449853926115905,0.047365947093757792,0.044841694195991544,0.056637864405045174,100
0,0,Needle In Haystack High,ThompsonSampling,ThompsonSampling,800,SoftMax,0.49265208333333332,0.042849468441500678,0.042335102295111657,0.040133541568356211,0.041072845387364734,0.049403082136299785,100
0,0,Needle In Haystack High,ThompsonSampling,ThompsonSampling,1000,SoftMax,0.49177833333333337,0.037224695214590584,0.0395821061020371,0.034498089271651794,0.037537849316911891,0.042900005558527771,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicGreedy,200,SoftMax,0.49808333333333338,0.082304092619835095,0.092644250514392387,0.082208562270798466,0.09308283417794698,0.099559813249455675,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicGreedy,400,SoftMax,0.49955833333333338,0.078157041973829333,0.092979913147206925,0.078712855575249804,0.094144676916964889,0.0991002202160257,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicGreedy,600,SoftMax,0.49702499999999994,0.075552628088294285,0.092981309395258407,0.076921018824209195,0.094532046099875977,0.097916904878542044,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicGreedy,800,SoftMax,0.49595000000000006,0.073884373953006982,0.09310754496874632,0.075879158946039998,0.0946623122049223,0.096822733285696849,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicGreedy,1000,SoftMax,0.49657333333333326,0.07274913429917762,0.093256546938546916,0.07509096513522083,0.094691165670634111,0.095729145221962783,100
0,0,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,200,SoftMax,0.50297499999999995,0.077502141414812251,0.083140260251079082,0.070405921148332398,0.081447323672594441,0.10215776054985101,100
0,0,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,400,SoftMax,0.5009541666666667,0.069918011983045633,0.081509625501489061,0.063715956313756567,0.07995340638883619,0.099565391522063035,100
0,0,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,600,SoftMax,0.49726666666666658,0.064287386411976274,0.078870897258845871,0.059099075075782208,0.078287659881064536,0.095649095581731222,100
0,0,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,800,SoftMax,0.49709791666666658,0.059747875673120239,0.076899688705408795,0.055797062097713228,0.076756197174335003,0.09162095409823863,100
0,0,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,1000,SoftMax,0.49804500000000002,0.056075586160245196,0.075352765958259099,0.052987774134203462,0.075279070333077444,0.087555922909544753,100
251,180,Heavy Tail,ThompsonSampling,DynamicEpsilonGreedy,200,HardMax,0.42802499999999999,0.080004624693968351,0.14083903458752833,0.055105774282598524,0.088171807871486707,0.18363058455300332,100
249,179,Heavy Tail,ThompsonSampling,DynamicEpsilonGreedy,400,HardMax,0.43285416666666665,0.072097810829381492,0.14271209521923198,0.05149207225674364,0.085558641189288659,0.18478249157013346,100
246,179,Heavy Tail,ThompsonSampling,DynamicEpsilonGreedy,600,HardMax,0.43291111111111114,0.072196828174258293,0.14913603928245836,0.049774100518929137,0.084807604959756505,0.1924035672197085,100
246,178,Heavy Tail,ThompsonSampling,DynamicEpsilonGreedy,800,HardMax,0.43256875,0.070485647073541366,0.14974172956172752,0.048802798505166931,0.084569114820005856,0.19248562722826923,100
245,178,Heavy Tail,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.43240000000000012,0.069159637714098832,0.14998834043206785,0.048229545583501919,0.084540481731247896,0.19211773130316123,100
263,163,Heavy Tail,ThompsonSampling,DynamicGreedy,200,HardMax,0.40304166666666663,0.080974845947521121,0.15597526303096282,0.047101003482137402,0.10504343122111159,0.1807085764049591,100
